iteration,temps_calcul,temps_affichage,temps_iteration,longueur,discretisation,vent,start,nombre_de_processus,nombre_de_coeurs,accel_global,accel_temp
672,0.001002550125122,0.0,21.767943000013474,5,100,"(2, 3)","(37, 37)",8,7,2.1406051274559315,0.0
608,0.0,0.0,45.95659349998459,5,100,"(2, 3)","(50, 50)",1,1,1.0,
608,0.0,0.0,81.54112109995913,5,100,"(2, 3)","(50, 50)",2,1,0.5636002164312606,
608,0.0,0.0,47.8400545999757,5,100,"(2, 3)","(50, 50)",4,3,0.9606300386623708,
608,0.001002550125122,0.0,32.030985600024,5,100,"(2, 3)","(50, 50)",6,5,1.4347542743096282,0.0
608,0.001002550125122,0.0,27.183348199992903,5,100,"(2, 3)","(50, 50)",8,7,1.6906156357882578,0.0
672,0.0,0.0,26.08449000003748,10,75,"(1, 1)","(1, 50)",1,1,1.0,
672,0.0,0.0,45.646217399975285,10,75,"(1, 1)","(1, 50)",2,1,0.571449103251469,
672,0.0,0.0,25.87489700003061,10,75,"(1, 1)","(1, 50)",4,3,1.008100244805095,
672,0.0010008811950683,0.0,12.991987299988978,10,75,"(1, 1)","(1, 50)",6,5,2.007736722468903,0.0
672,0.0010023117065429,0.0,11.064446799980942,10,75,"(1, 1)","(1, 50)",8,7,2.357505121727587,0.0
672,0.0,0.0,26.626310399966314,10,75,"(1, 1)","(15, 10)",1,1,1.0,
672,0.0,0.0,44.90976980002597,10,75,"(1, 1)","(15, 10)",2,1,0.5928845887771822,
672,0.0,0.0,25.92522600002121,10,75,"(1, 1)","(15, 10)",4,3,1.027042556926776,
672,0.0,0.0,17.26735350000672,10,75,"(1, 1)","(15, 10)",6,5,1.542002971095481,
672,0.0,0.0,13.902775900030974,10,75,"(1, 1)","(15, 10)",8,7,1.915179428297265,
576,0.0,0.0,25.691344299993943,10,75,"(1, 1)","(37, 37)",1,1,1.0,
576,0.0,0.0,43.8388566999929,10,75,"(1, 1)","(37, 37)",2,1,0.5860404726293444,
608,0.0,0.0,21.56408939999528,10,75,"(1, 1)","(37, 37)",4,3,1.1913948149370763,
576,0.0,0.0,11.811834099993575,10,75,"(1, 1)","(37, 37)",6,5,2.1750512310368393,
576,0.0,0.0,9.175830199965276,10,75,"(1, 1)","(37, 37)",8,7,2.799893169349534,
608,0.0,0.0,25.832186699961312,10,75,"(1, 1)","(50, 50)",1,1,1.0,
608,0.0,0.0,41.13694639998721,10,75,"(1, 1)","(50, 50)",2,1,0.6279558635389948,
608,0.0,0.0,23.58554639999056,10,75,"(1, 1)","(50, 50)",4,3,1.0952549608929838,
608,0.0,0.0,11.601937200000975,10,75,"(1, 1)","(50, 50)",6,5,2.226540814232225,
608,0.0,0.0,9.694137300015427,10,75,"(1, 1)","(50, 50)",8,7,2.664722594750149,
672,0.0,0.0,25.416057299997192,10,75,"(2, 3)","(1, 50)",1,1,1.0,
672,0.0,0.0,44.64402659999905,10,75,"(2, 3)","(1, 50)",2,1,0.5693047701032803,
672,0.0,0.0,27.33966719999444,10,75,"(2, 3)","(1, 50)",4,3,0.9296403322715779,
672,0.0010030269622802,0.0,15.277888300013728,10,75,"(2, 3)","(1, 50)",6,5,1.6635844431441715,0.0
672,0.0,0.0,12.617950799991377,10,75,"(2, 3)","(1, 50)",8,7,2.014277730423118,
